Task Name,Description,Section/Column,Epic,Sprint,Due Date,Priority
[1-1] Bronze取り込みを冪等にする,Bronze取り込みを冪等にする（mode('overwrite')への変更、またはMERGE文の導入）,To Do,Epic 1: パイプラインの仕上げと自動化,Sprint 1,2026-04-05,High
[1-2] Silver/Gold変換を冪等にする,Silver/Gold変換も同様に冪等にする,To Do,Epic 1: パイプラインの仕上げと自動化,Sprint 1,2026-04-05,High
[1-3] Jobによる日次自動実行の設定,Databricks Workflows (Job) を設定しBronze→Silver→Goldを日次自動実行する,To Do,Epic 1: パイプラインの仕上げと自動化,Sprint 1,2026-04-05,High
[1-4] Job Clusterへの切り替え,Job実行時のCompute設定をJob Clusterに切り替える,To Do,Epic 1: パイプラインの仕上げと自動化,Sprint 1,2026-04-05,Medium
[1-5] Job実行結果のメール通知設定,Job実行結果の成功/失敗をメール通知する設定を行う,To Do,Epic 1: パイプラインの仕上げと自動化,Sprint 1,2026-04-05,Medium
[1-6] NAT Gateway時間制限運用の検討,NAT Gatewayの時間制限運用を検討する（Lambda/CloudFormation構成）,To Do,Epic 1: パイプラインの仕上げと自動化,Sprint 2,2026-04-19,Low
[2-1] ペルソナ設計書の作成,"3ロール（analyst_user, marketing_user, data_engineer）の設計書を作成する",To Do,Epic 2: データガバナンスとアクセス制御,Sprint 1,2026-04-05,High
[2-2] Unity Catalogでのグループ/権限設定,Unity Catalogでグループを作成しGRANT/REVOKE文で権限を付与する,To Do,Epic 2: データガバナンスとアクセス制御,Sprint 1,2026-04-05,High
[2-3] 個人情報マスキングの動的ビュー作成,従業員テーブルの個人情報をマスキングする動的ビューを作成する,To Do,Epic 2: データガバナンスとアクセス制御,Sprint 2,2026-04-19,High
[2-4] 売上サマリビューの細粒度権限設定,marketing_user向けに売上サマリビューのみSELECT可能な権限を設定する,To Do,Epic 2: データガバナンスとアクセス制御,Sprint 2,2026-04-19,Medium
[2-5] analyst_userの権限制限テスト,analyst_userでログインしBronze/Silver層にアクセスできないことを証明する,To Do,Epic 2: データガバナンスとアクセス制御,Sprint 2,2026-04-19,High
[2-6] marketing_userのビュー制限テスト,marketing_userでログインし許可されたビュー以外のGoldテーブルにアクセス不可を証明する,To Do,Epic 2: データガバナンスとアクセス制御,Sprint 2,2026-04-19,High
[2-7] マスキングの表示テスト,HR以外のユーザーが従業員ビューを見た時、個人情報がマスキング表示されることを証明する,To Do,Epic 2: データガバナンスとアクセス制御,Sprint 2,2026-04-19,High
[2-8] 権限テスト証跡の記録,全テスト結果をスクリーンショット＋assertで証跡として記録する,To Do,Epic 2: データガバナンスとアクセス制御,Sprint 2,2026-04-19,Medium
[3-1] 手動でのビジネスメタデータ付与,Unity Catalog上の全テーブル・主要カラムにコメントを手動で付与する,To Do,Epic 3: データディスカバリとメタデータ管理,Sprint 1,2026-04-05,Medium
[3-2] テーブルへのタグ付与,テーブルにタグ（domain:salesなど）を付与する,To Do,Epic 3: データディスカバリとメタデータ管理,Sprint 1,2026-04-05,Medium
[3-3] カタログ検索によるデータ探索の検証,カタログ内でタグ・キーワード検索を行いデータ探索が容易か確認する,To Do,Epic 3: データディスカバリとメタデータ管理,Sprint 2,2026-04-19,Medium
[3-4] AI Assistによるメタデータ自動生成検証,AI機能でコメントやタグを自動生成させ手動作成と品質を比較する,To Do,Epic 3: データディスカバリとメタデータ管理,Sprint 2,2026-04-19,High
[3-5] 現在のリネージ可視化,現時点のリネージ（Bronze→Silver→Gold）をUnity Catalogで可視化・記録する,To Do,Epic 3: データディスカバリとメタデータ管理,Sprint 2,2026-04-19,Medium
[3-6] ML/BI成果物へのメタデータ付与,MLflow実験テーブル等にコメント・タグを付与する,To Do,Epic 3: データディスカバリとメタデータ管理,Sprint 4,2026-05-17,Low
[3-7] エンドツーエンドのリネージ比較,ML推論結果→Gold→ダッシュボードのリネージを可視化・比較する,To Do,Epic 3: データディスカバリとメタデータ管理,Sprint 4,2026-05-17,Medium
[3-8] カタログ全体の網羅性確認と補完,カタログ全体の網羅性を確認し抜け漏れを補完する,To Do,Epic 3: データディスカバリとメタデータ管理,Sprint 4,2026-05-17,Low
[4-1] Gold層データのEDAと予測対象の決定,Gold層のデータをEDAし予測対象と特徴量を決定する,To Do,Epic 4: 機械学習モデルの構築と管理,Sprint 3,2026-05-03,High
[4-2] AutoMLによるベースラインモデル生成,Databricks AutoMLを使ってベースラインモデルを自動生成する,To Do,Epic 4: 機械学習モデルの構築と管理,Sprint 3,2026-05-03,High
[4-3] モデルの手動改善とカスタマイズ,AutoML出力Notebookをカスタマイズしモデルを手動で改善する,To Do,Epic 4: 機械学習モデルの構築と管理,Sprint 3,2026-05-03,High
[4-4] MLflowによる実験トラッキング,MLflowでパラメータやメトリクスをトラッキング・比較する,To Do,Epic 4: 機械学習モデルの構築と管理,Sprint 3,2026-05-03,High
[4-5] Model Registryによるライフサイクル管理,モデルをModel Registryに登録しStaging→Productionの管理を体験する,To Do,Epic 4: 機械学習モデルの構築と管理,Sprint 3,2026-05-03,High
[4-6] バッチ推論とGold層への保存,モデルでバッチ推論し結果をGold層に保存する,To Do,Epic 4: 機械学習モデルの構築と管理,Sprint 3,2026-05-03,High
[5-1] 売上ダッシュボード作成,Databricks SQLで売上ダッシュボードを作成する,To Do,Epic 5: BIダッシュボードとレポート配信,Sprint 4,2026-05-17,High
[5-2] 在庫状況ダッシュボード作成,在庫切れリスク商品などの在庫状況ダッシュボードを作成する,To Do,Epic 5: BIダッシュボードとレポート配信,Sprint 4,2026-05-17,Medium
[5-3] ML予測結果の可視化ダッシュボード作成,Epic 4のML予測結果を可視化するダッシュボードを作成する,To Do,Epic 5: BIダッシュボードとレポート配信,Sprint 4,2026-05-17,Medium
[5-4] ダッシュボードのスケジュール配信設定,毎週月曜9時にPDF/メールで自動送信するスケジュールを設定する,To Do,Epic 5: BIダッシュボードとレポート配信,Sprint 4,2026-05-17,Medium
[5-5] ダッシュボードのアクセス制御連携テスト,ペルソナに応じたダッシュボードの表示制御を確認する,To Do,Epic 5: BIダッシュボードとレポート配信,Sprint 4,2026-05-17,High
[6-1] 業務管理アプリの骨格作成,Streamlit等で業務管理アプリの骨格（ログイン・メニュー）を作成する,To Do,Epic 6: 業務・購買アプリ構築と連携実証,Sprint 5,2026-05-31,Medium
[6-2] 商品マスタ管理機能実装,商品マスタの登録・編集機能を実装する,To Do,Epic 6: 業務・購買アプリ構築と連携実証,Sprint 5,2026-05-31,Medium
[6-3] 在庫管理機能実装,入荷登録、在庫数調整など在庫管理機能を実装する,To Do,Epic 6: 業務・購買アプリ構築と連携実証,Sprint 5,2026-05-31,Medium
[6-4] 従業員管理機能実装,従業員情報の権限に応じたマスキングを含む閲覧・編集機能実装,To Do,Epic 6: 業務・購買アプリ構築と連携実証,Sprint 5,2026-05-31,Medium
[6-5] 業務アプリの入力バリデーション実装,必須や数値チェックなどの入力バリデーションを実装する,To Do,Epic 6: 業務・購買アプリ構築と連携実証,Sprint 5,2026-05-31,Low
[6-6] ユーザー向け購買アプリ骨格作成,商品一覧等のユーザー向け購買アプリ骨格を作成する,To Do,Epic 6: 業務・購買アプリ構築と連携実証,Sprint 6,2026-06-14,Medium
[6-7] 商品詳細・カート追加機能実装,商品詳細表示・カート追加機能を実装する,To Do,Epic 6: 業務・購買アプリ構築と連携実証,Sprint 6,2026-06-14,Medium
[6-8] カート・注文確定機能実装,orders等テーブルにINSERTする注文確定機能を実装する,To Do,Epic 6: 業務・購買アプリ構築と連携実証,Sprint 6,2026-06-14,High
[6-9] 注文履歴機能実装,過去の注文一覧と詳細表示機能を実装する,To Do,Epic 6: 業務・購買アプリ構築と連携実証,Sprint 6,2026-06-14,Medium
[6-10] 購買アプリの入力バリデーション実装,在庫チェック等の入力バリデーションを実装する,To Do,Epic 6: 業務・購買アプリ構築と連携実証,Sprint 6,2026-06-14,Low
[6-11] 業務アプリのデータ連携E2E実証,業務アプリでの操作がGoldダッシュボードに反映されることを確認する,To Do,Epic 6: 業務・購買アプリ構築と連携実証,Sprint 7,2026-06-28,High
[6-12] 購買アプリのデータ連携E2E実証,購買アプリでの注文がGold売上集計に反映されることを確認する,To Do,Epic 6: 業務・購買アプリ構築と連携実証,Sprint 7,2026-06-28,High
[6-13] 在庫アラートのデータ連携実証,大量注文によりダッシュボードの在庫アラートが発火することを確認する,To Do,Epic 6: 業務・購買アプリ構築と連携実証,Sprint 7,2026-06-28,Medium
[6-14] Databricks Job前後のRDS自動起動・停止,Jobに合わせてRDSの起動・停止を自動化（Lambda等）する,To Do,Epic 6: 業務・購買アプリ構築と連携実証,Sprint 7,2026-06-28,Low
[7-1] Silver変換ロジックの単体テスト,固定データ（スタブ）を用いてSilver変換の単体テストを作成・実行する,To Do,Epic 7: テスト戦略の実装,Sprint 8,2026-07-12,High
[7-2] Gold集計ロジックの単体テスト,スタブDataFrameを用いてGold集計の単体テストを作成・実行する,To Do,Epic 7: テスト戦略の実装,Sprint 8,2026-07-12,High
[7-3] 業務アプリRDS書き込みの単体テスト,モックDBを使いINSERT文生成の単体テストを作成・実行する,To Do,Epic 7: テスト戦略の実装,Sprint 8,2026-07-12,High
[7-4] 購買アプリ在庫チェックの単体テスト,在庫0に対する注文エラーの単体テストを作成・実行する,To Do,Epic 7: テスト戦略の実装,Sprint 8,2026-07-12,Medium
[7-5] 3層通し結合テスト（スタブ入力）,テスト用Bronzeを用いた3層結合テストを作成・実行する,To Do,Epic 7: テスト戦略の実装,Sprint 8,2026-07-12,High
[7-6] 異常系データ混入結合テスト,異常系データをスタブに混入しDQで除外されるか結合テストする,To Do,Epic 7: テスト戦略の実装,Sprint 8,2026-07-12,High
[7-7] アプリからBronze層の結合テスト,テスト専用RDSを利用したアプリ〜Bronzeの結合テストを作成・実行する,To Do,Epic 7: テスト戦略の実装,Sprint 8,2026-07-12,High
[7-8] 購買アプリ全体E2Eテスト,本物システムで購買アプリ〜ダッシュボードまでのE2Eテストを実行する,To Do,Epic 7: テスト戦略の実装,Sprint 8,2026-07-12,High
[7-9] 業務アプリ全体E2Eテスト,本物システムで業務アプリ〜ダッシュボードまでのE2Eテストを実行する,To Do,Epic 7: テスト戦略の実装,Sprint 8,2026-07-12,High
[7-10] E2Eテスト後のクリーンアップ処理実装,テストデータの削除およびテーブルの復元処理を実装する,To Do,Epic 7: テスト戦略の実装,Sprint 8,2026-07-12,Medium
[7-11] テストのWorkflow自動実行設定,日次/週次でテストが自動実行されるようWorkflowを設定する,To Do,Epic 7: テスト戦略の実装,Sprint 8,2026-07-12,High
[7-12] テスト結果記録・履歴ダッシュボード作成,テスト結果をテーブル記録し履歴ダッシュボードを作成する,To Do,Epic 7: テスト戦略の実装,Sprint 8,2026-07-12,Medium
[7-13] テスト失敗時のメール通知設定,テスト失敗時にメール通知が飛ぶ設定を行う,To Do,Epic 7: テスト戦略の実装,Sprint 8,2026-07-12,Medium
[8-1] Bronze層の重複レコード調査,現在のBronze層全テーブルの重複有無を調査する,To Do,Epic 8: データ品質とストリーミング,Sprint 1,2026-04-05,High
[8-2] 重複データのクリーンアップ実行,重複データを除去するクリーンアップ処理を実行する,To Do,Epic 8: データ品質とストリーミング,Sprint 1,2026-04-05,High
[8-3] Silver/Gold層の重複調査・クリーンアップ,Silver/Gold層でも重複調査とクリーンアップを実施する,To Do,Epic 8: データ品質とストリーミング,Sprint 1,2026-04-05,High
[8-4] 経常的なDQチェックジョブ登録,クリーンアップ後の重複チェックを経常的なDQジョブとして登録する,To Do,Epic 8: データ品質とストリーミング,Sprint 1,2026-04-05,High
[8-5] パイプラインのDLT移行,既存のBronze→Silver→Gold処理をDelta Live Tablesに書き直す,To Do,Epic 8: データ品質とストリーミング,Sprint 9,2026-07-26,High
[8-6] DLT Expectationsの定義,DLTにExpectations等のデータ品質制約を宣言的に定義する,To Do,Epic 8: データ品質とストリーミング,Sprint 9,2026-07-26,High
[8-7] 不正データ検知UI確認,DLTでの不正データ検知・除外をUIで確認する,To Do,Epic 8: データ品質とストリーミング,Sprint 9,2026-07-26,Medium
[8-8] ストリーミング処理パイプライン構築,Auto Loader等でストリーミング処理を構築する,To Do,Epic 8: データ品質とストリーミング,Sprint 9,2026-07-26,Medium
[8-9] 品質保証手法の比較ドキュメント作成,手動・経常ジョブ・DLTの比較資料を作成する,To Do,Epic 8: データ品質とストリーミング,Sprint 9,2026-07-26,Low
[9-1] DABsによるJob/DLT定義のYAML化,Databricks Asset Bundlesで定義をYAMLコード化する,To Do,Epic 9: CI/CDとIaC,Sprint 10,2026-08-09,High
[9-2] GitHub Actions連携CI/CD構築,mainブランチpush時の自動デプロイCI/CDパイプラインを構築する,To Do,Epic 9: CI/CDとIaC,Sprint 10,2026-08-09,High
[9-3] テストゲート付きCI/CD構築,CI/CDにEpic 7のテストを組み込み失敗時にデプロイをブロックする,To Do,Epic 9: CI/CDとIaC,Sprint 10,2026-08-09,High
