Task Name,Description,Section/Column,Epic,Sprint,Due Date,Priority
[6-1] 業務管理アプリの骨格作成,Streamlit等で業務管理アプリの骨格（ログイン・メニュー）を作成する。RDS接続共通モジュールも確立する,To Do,Epic 6: 業務・購買アプリ構築と連携実証,App-Sprint 1,2025-11-30,High
[6-2] 商品マスタ管理機能実装,商品マスタの登録・編集機能を実装する,To Do,Epic 6: 業務・購買アプリ構築と連携実証,App-Sprint 1,2025-11-30,Medium
[6-3] 在庫管理機能実装,入荷登録、在庫数調整など在庫管理機能を実装する,To Do,Epic 6: 業務・購買アプリ構築と連携実証,App-Sprint 1,2025-11-30,Medium
[6-4] 従業員管理機能実装,従業員情報の権限に応じたマスキングを含む閲覧・編集機能実装,To Do,Epic 6: 業務・購買アプリ構築と連携実証,App-Sprint 2,2025-12-14,Medium
[6-5] 業務アプリの入力バリデーション実装,必須や数値チェックなどの入力バリデーションを実装する,To Do,Epic 6: 業務・購買アプリ構築と連携実証,App-Sprint 2,2025-12-14,Low
[7-3] 業務アプリRDS書き込みの単体テスト,モックDBを使いINSERT文生成の単体テストを作成・実行する,To Do,Epic 7: アプリテスト戦略,App-Sprint 2,2025-12-14,High
[6-6] ユーザー向け購買アプリ骨格作成,商品一覧等のユーザー向け購買アプリ骨格を作成する,To Do,Epic 6: 業務・購買アプリ構築と連携実証,App-Sprint 2,2025-12-14,Medium
[6-7] 商品詳細・カート追加機能実装,商品詳細表示・カート追加機能を実装する,To Do,Epic 6: 業務・購買アプリ構築と連携実証,App-Sprint 2,2025-12-14,Medium
[6-8] カート・注文確定機能実装,orders等テーブルにINSERTする注文確定機能を実装する,To Do,Epic 6: 業務・購買アプリ構築と連携実証,App-Sprint 3,2025-12-28,High
[6-9] 注文履歴機能実装,過去の注文一覧と詳細表示機能を実装する,To Do,Epic 6: 業務・購買アプリ構築と連携実証,App-Sprint 3,2025-12-28,Medium
[6-10] 購買アプリの入力バリデーション実装,在庫チェック等の入力バリデーションを実装する,To Do,Epic 6: 業務・購買アプリ構築と連携実証,App-Sprint 3,2025-12-28,Low
[7-4] 購買アプリ在庫チェックの単体テスト,在庫0に対する注文エラーの単体テストを作成・実行する,To Do,Epic 7: アプリテスト戦略,App-Sprint 3,2025-12-28,Medium
[6-11] 業務アプリのデータ連携E2E実証,業務アプリでの操作がGoldダッシュボードに反映されることを確認する,To Do,Epic 6: 業務・購買アプリ構築と連携実証,App-Sprint 4,2026-01-18,High
[6-12] 購買アプリのデータ連携E2E実証,購買アプリでの注文がGold売上集計に反映されることを確認する,To Do,Epic 6: 業務・購買アプリ構築と連携実証,App-Sprint 4,2026-01-18,High
[6-13] 在庫アラートのデータ連携実証,大量注文によりダッシュボードの在庫アラートが発火することを確認する,To Do,Epic 6: 業務・購買アプリ構築と連携実証,App-Sprint 4,2026-01-18,Medium
[6-14] Databricks Job前後のRDS自動起動・停止,Jobに合わせてRDSの起動・停止を自動化（Lambda等）する,To Do,Epic 6: 業務・購買アプリ構築と連携実証,App-Sprint 4,2026-01-18,Low
[7-7] アプリからBronze層の結合テスト,テスト専用RDSを利用したアプリ〜Bronzeの結合テストを作成・実行する,To Do,Epic 7: アプリテスト戦略,App-Sprint 5,2026-02-01,High
[7-8] 購買アプリ全体E2Eテスト,本物システムで購買アプリ〜ダッシュボードまでのE2Eテストを実行する,To Do,Epic 7: アプリテスト戦略,App-Sprint 5,2026-02-01,High
[7-9] 業務アプリ全体E2Eテスト,本物システムで業務アプリ〜ダッシュボードまでのE2Eテストを実行する,To Do,Epic 7: アプリテスト戦略,App-Sprint 5,2026-02-01,High
[9-A1] アプリのDocker化,業務アプリ・購買アプリのDockerfileを作成しdocker-composeでローカル動作確認する,To Do,Epic 9: アプリCI/CD,App-Sprint 6,2026-02-15,High
[9-A2] AWSデプロイ環境構築,App RunnerまたはECS Fargateでアプリのホスティング環境を構築する（IaCでコード化）,To Do,Epic 9: アプリCI/CD,App-Sprint 6,2026-02-15,High
[9-A3] アプリCI/CDパイプライン構築,GitHub Actionsでmainブランチpush時にコンテナビルド→AWS自動デプロイするパイプラインを構築する,To Do,Epic 9: アプリCI/CD,App-Sprint 6,2026-02-15,High
[9-A4] テストゲート付きCI/CD,CI/CDにアプリ単体テスト（7-3/7-4）を組み込みテスト失敗時にデプロイをブロックする,To Do,Epic 9: アプリCI/CD,App-Sprint 6,2026-02-15,Medium
